axis,x,y,source_points,role
0.5475,-975.648,-1020.907,617,local_frozen_track_geometry_linked_by_relative_distance
0.55,-905.618,-1134.903,617,local_frozen_track_geometry_linked_by_relative_distance
0.5525,-833.087,-1245.017,617,local_frozen_track_geometry_linked_by_relative_distance
0.555,-757.276,-1350.767,617,local_frozen_track_geometry_linked_by_relative_distance
0.5575,-686.893,-1444.261,617,local_frozen_track_geometry_linked_by_relative_distance
0.56,-598.554,-1551.175,617,local_frozen_track_geometry_linked_by_relative_distance
0.5625,-456.171,-1706.631,617,local_frozen_track_geometry_linked_by_relative_distance
0.565,-363.767,-1803.037,617,local_frozen_track_geometry_linked_by_relative_distance
0.5675,-311.93,-1851.132,617,local_frozen_track_geometry_linked_by_relative_distance
0.57,-238.398,-1917.796,617,local_frozen_track_geometry_linked_by_relative_distance
0.5725,-108.189,-2033.097,617,local_frozen_track_geometry_linked_by_relative_distance
0.575,31.277,-2152.948,617,local_frozen_track_geometry_linked_by_relative_distance
0.5775,82.025,-2195.976,617,local_frozen_track_geometry_linked_by_relative_distance
0.58,149.41,-2252.662,617,local_frozen_track_geometry_linked_by_relative_distance
0.5825,244.867,-2332.646,617,local_frozen_track_geometry_linked_by_relative_distance
0.585,354.615,-2424.726,617,local_frozen_track_geometry_linked_by_relative_distance
0.5875,454.04,-2508.663,617,local_frozen_track_geometry_linked_by_relative_distance
0.59,570.989,-2608.112,617,local_frozen_track_geometry_linked_by_relative_distance
0.5925,669.672,-2691.208,617,local_frozen_track_geometry_linked_by_relative_distance
0.595,757.256,-2764.445,617,local_frozen_track_geometry_linked_by_relative_distance
0.5975,850.494,-2843.944,617,local_frozen_track_geometry_linked_by_relative_distance
0.6,942.102,-2922.228,617,local_frozen_track_geometry_linked_by_relative_distance
0.6025,1035.984,-3001.496,617,local_frozen_track_geometry_linked_by_relative_distance
0.605,1203.538,-3142.078,617,local_frozen_track_geometry_linked_by_relative_distance
0.6075,1305.15,-3227.875,617,local_frozen_track_geometry_linked_by_relative_distance
0.61,1369.589,-3282.717,617,local_frozen_track_geometry_linked_by_relative_distance
0.6125,1455.48,-3355.245,617,local_frozen_track_geometry_linked_by_relative_distance
0.615,1610.579,-3484.93,617,local_frozen_track_geometry_linked_by_relative_distance
0.6175,1749.606,-3600.776,617,local_frozen_track_geometry_linked_by_relative_distance
0.62,1866.87,-3697.591,617,local_frozen_track_geometry_linked_by_relative_distance
0.6225,1964.32,-3776.003,617,local_frozen_track_geometry_linked_by_relative_distance
0.625,2064.038,-3854.63,617,local_frozen_track_geometry_linked_by_relative_distance
0.6275,2167.366,-3933.637,617,local_frozen_track_geometry_linked_by_relative_distance
0.63,2273.49,-4011.311,617,local_frozen_track_geometry_linked_by_relative_distance
0.6325,2378.012,-4084.441,617,local_frozen_track_geometry_linked_by_relative_distance
0.635,2478.843,-4153.01,617,local_frozen_track_geometry_linked_by_relative_distance
0.6375,2571.889,-4215.952,617,local_frozen_track_geometry_linked_by_relative_distance
0.64,2645.776,-4264.924,617,local_frozen_track_geometry_linked_by_relative_distance
0.6425,2716.904,-4310.346,617,local_frozen_track_geometry_linked_by_relative_distance
0.645,2827.645,-4376.948,617,local_frozen_track_geometry_linked_by_relative_distance
0.6475,2973.949,-4462.167,617,local_frozen_track_geometry_linked_by_relative_distance
0.65,3114.413,-4538.886,617,local_frozen_track_geometry_linked_by_relative_distance
0.6525,3236.695,-4599.537,617,local_frozen_track_geometry_linked_by_relative_distance
0.655,3352.687,-4655.346,617,local_frozen_track_geometry_linked_by_relative_distance
0.6575,3450.068,-4700.001,617,local_frozen_track_geometry_linked_by_relative_distance
0.66,3540.135,-4740.049,617,local_frozen_track_geometry_linked_by_relative_distance
0.6625,3640.201,-4784.317,617,local_frozen_track_geometry_linked_by_relative_distance
0.665,3759.5,-4837.305,617,local_frozen_track_geometry_linked_by_relative_distance
0.6675,3878.576,-4889.564,617,local_frozen_track_geometry_linked_by_relative_distance
0.67,3998.185,-4940.25,617,local_frozen_track_geometry_linked_by_relative_distance
0.6725,4118.447,-4989.776,617,local_frozen_track_geometry_linked_by_relative_distance
0.675,4239.764,-5038.181,617,local_frozen_track_geometry_linked_by_relative_distance
0.6775,4364.381,-5086.68,617,local_frozen_track_geometry_linked_by_relative_distance
0.68,4492.323,-5135.74,617,local_frozen_track_geometry_linked_by_relative_distance
0.6825,4632.608,-5191.332,617,local_frozen_track_geometry_linked_by_relative_distance
0.685,4803.668,-5258.232,617,local_frozen_track_geometry_linked_by_relative_distance
