axis_index,driver,team,lap,stint,compound,tyre_age,straight_id,max_speed_kph,p95_speed_kph,full_throttle_distance_share,drs_distance_share,acceleration_150_250_kph_per_100m,segment_time_s,segment_distance_m,feature_role
145,ANT,Mercedes,41,2,MEDIUM,9.0,S04,297.0,296.76947021484375,1.0,0.0,,2.920109028919467,229.12846790281571,observed_straight_speed_control_proxy_not_engine_power_or_drag
145,ANT,Mercedes,41,2,MEDIUM,9.0,S05,261.9179382324219,260.3205261230469,1.0,0.0,28.88908770978752,1.9208980756692309,130.18662949023621,observed_straight_speed_control_proxy_not_engine_power_or_drag
145,ANT,Mercedes,41,2,MEDIUM,9.0,S06,281.0,280.78763580322266,0.9125,0.0,42.851766079669176,6.42900546873254,411.38974918914647,observed_straight_speed_control_proxy_not_engine_power_or_drag
146,ANT,Mercedes,42,2,MEDIUM,10.0,S01,278.57891845703125,278.28452453613284,1.0,0.0,,0.9657668570642213,73.30646050027767,observed_straight_speed_control_proxy_not_engine_power_or_drag
146,ANT,Mercedes,42,2,MEDIUM,10.0,S02,294.0,294.0,0.7391304347826086,0.0,,1.4171688881827065,115.19586650043634,observed_straight_speed_control_proxy_not_engine_power_or_drag
146,ANT,Mercedes,42,2,MEDIUM,10.0,S03,311.9550476074219,310.83057098388673,0.9105263157894737,0.0,43.61280551442626,13.372238297456615,989.6372167537486,observed_straight_speed_control_proxy_not_engine_power_or_drag
146,ANT,Mercedes,42,2,MEDIUM,10.0,S04,293.0,292.6895385742188,1.0,0.0,,2.9738033997477276,230.39173300087268,observed_straight_speed_control_proxy_not_engine_power_or_drag
146,ANT,Mercedes,42,2,MEDIUM,10.0,S05,259.5174560546875,258.3282928466797,1.0,0.0,28.528634466865842,1.9337828663322354,130.90439375049584,observed_straight_speed_control_proxy_not_engine_power_or_drag
146,ANT,Mercedes,42,2,MEDIUM,10.0,S06,280.823486328125,279.92288360595705,0.95,0.0,45.479266591253484,6.4901691656724045,413.6578842515668,observed_straight_speed_control_proxy_not_engine_power_or_drag
147,ANT,Mercedes,43,2,MEDIUM,11.0,S01,280.8858947753906,280.23199462890625,1.0,0.0,,0.9595970797824269,73.47612188317287,observed_straight_speed_control_proxy_not_engine_power_or_drag
147,ANT,Mercedes,43,2,MEDIUM,11.0,S02,297.9169616699219,297.63507080078125,0.5217391304347826,0.0,,1.4065069300792337,115.46247724498593,observed_straight_speed_control_proxy_not_engine_power_or_drag
147,ANT,Mercedes,43,2,MEDIUM,11.0,S03,312.0,311.0,0.9263157894736842,0.0,42.5907611109146,13.281170338372924,991.9276454228337,observed_straight_speed_control_proxy_not_engine_power_or_drag
147,ANT,Mercedes,43,2,MEDIUM,11.0,S04,294.653564453125,293.77049560546874,1.0,0.0,,2.941080587871569,230.92495448997187,observed_straight_speed_control_proxy_not_engine_power_or_drag
147,ANT,Mercedes,43,2,MEDIUM,11.0,S05,257.32550048828125,256.9418487548828,1.0,0.0,27.789875292492873,1.939798091442001,131.20736050566583,observed_straight_speed_control_proxy_not_engine_power_or_drag
147,ANT,Mercedes,43,2,MEDIUM,11.0,S06,281.96502685546875,281.0062561035156,0.9625,0.0,46.54564505064612,6.489614978074236,414.61525919790404,observed_straight_speed_control_proxy_not_engine_power_or_drag
